N	COUNTRY	TITLE	URL	VIEWS	SUBSCRIBERS	VIDEOS	REGDATE
152	США	D Billions На Русском	https://www.youtube.com/channel/UC6X7e7OYi44JpotGFHKr3YA	3312899028	5020000	233	6 сентября 2020 г.
153	Россия	BlackStarTV	https://www.youtube.com/user/BlackStarTV	1878447930	5010000	330	24 марта 2008 г.
154	Россия	Nepeta Страшилки	https://www.youtube.com/channel/UCvwfhb4WVf29L7nto41xxVQ	1197409413	4990000	248	27 марта 2016 г.
155	Украина	KREOSAN	https://www.youtube.com/user/kreosan	965059642	4970000	365	25 октября 2010 г.
156	Россия	EugeneSagaz	https://www.youtube.com/user/eugenesagaz	2021911214	4940000	1704	1 апреля 2014 г.
157	Россия	Utopia Show	https://www.youtube.com/channel/UC8M5YVWQan_3Elm-URehz9w	599828345	4900000	148	14 апреля 2015 г.
158	Россия	Найсик бро	https://www.youtube.com/channel/UCaY1dtKcLMBzNTlCNcgeVfw	840428982	4900000	1209	20 октября 2019 г.
159	Украина	Daniel Gro	https://www.youtube.com/channel/UC_OlRSrhwiBX-VC7EPhGlNw	1137601973	4840000	115	13 сентября 2016 г.
160	Россия	Quantum Games	https://www.youtube.com/user/AmigoQuantikGames	2481346491	4820000	3881	8 ноября 2012 г.
161	США	Nikol CrazyFamily	https://www.youtube.com/channel/UC_DVkYrg5uDDEjLHx4bStig	1450847437	4820000	816	29 апреля 2015 г.
162	США	GopherVid	https://www.youtube.com/user/GopherVid	1068348329	4810000	467	18 сентября 2013 г.
163	Беларусь	Декстер	https://www.youtube.com/user/DexterProduction16	494139346	4790000	322	22 июля 2013 г.
164	Россия	ХАБИБ	https://www.youtube.com/channel/UCZYd-fQ0oSnldtcnxt94vMw	4045928162	4750000	901	5 марта 2011 г.
165	Россия	oblomoff	https://www.youtube.com/user/rukremov	1683605265	4740000	1380	11 марта 2010 г.
166	Россия	Киноконцерн &quot;Мосфильм&quot;	https://www.youtube.com/user/mosfilm	2160132571	4730000	1341	5 ноября 2006 г.
167	Украина	ВУХУУ!	https://www.youtube.com/channel/UCKQTOGKzcSPuQgflweqce_Q	2149187129	4710000	811	20 мая 2019 г.
168		Top Five	https://www.youtube.com/user/FiveTop5	826518576	4700000	189	25 декабря 2012 г.
169	Украина	Серіали України. Прем’єр	https://www.youtube.com/user/kanalukraine	3494278214	4700000	16158	7 мая 2012 г.
170	Украина	Телеканал СТБ	https://www.youtube.com/user/STBonline	2733850710	4690000	13508	15 декабря 2007 г.
171		Эдисон Перец	https://www.youtube.com/channel/UCkEiEd4fV3pvUmcoJYacDqA	339339040	4680000	117	6 октября 2016 г.
172	Россия	Baby Tunes Kids Channel	https://www.youtube.com/channel/UC3_ZmN_g5Z_M6F-MrAxzyxg	1732297612	4680000	306	8 ноября 2017 г.
173	Украина	Ярик Лапа	https://www.youtube.com/user/YarikPawGames	2927995043	4680000	1306	18 июня 2013 г.
174	Россия	DAVA	https://www.youtube.com/channel/UCbh7BxJWCMnWLwJ-traa6Wg	554081626	4660000	141	20 декабря 2018 г.
175		Мульт	https://www.youtube.com/channel/UCM3vklq_KgWZDmbfg_0Yg_A	3768463625	4630000	2076	15 марта 2016 г.
176	Украина	Чоткий Паца	https://www.youtube.com/channel/UCpgNxHZ3TCbB3_Xczm9TIDg	821148164	4620000	353	31 октября 2014 г.
177	Россия	Кухня наизнанку	https://www.youtube.com/channel/UC4gVKW7oYok8-3vmeIBNB_w	559617545	4600000	185	25 февраля 2018 г.
178	Россия	ИЛЬДАР АВТО-ПОДБОР	https://www.youtube.com/user/quattro882	1153268085	4590000	428	7 января 2011 г.
179	Россия	КУКУТИКИ - Детские песенки и мультики	https://www.youtube.com/user/KukutikiShow	4442099972	4590000	356	17 ноября 2014 г.
180	Украина	YanGo	https://www.youtube.com/user/YanGord	288153746	4590000	120	3 октября 2014 г.
181	Украина	Room Factory	https://www.youtube.com/user/kpuacah4uk	1422011324	4550000	458	28 декабря 2009 г.
182	Россия	ПУШЕР	https://www.youtube.com/user/PaPaKeRs	485970314	4520000	222	4 июля 2011 г.
183	Россия	доктор Евдокименко	https://www.youtube.com/channel/UCmyE72X4HsC7XD-z6QIQpzw	349236156	4510000	216	16 апреля 2013 г.
184	Россия	serial	https://www.youtube.com/user/serial	472202535	4500000	1030	26 декабря 2005 г.
185	Россия	versusbattleru	https://www.youtube.com/user/versusbattleru	808532702	4500000	299	23 июня 2013 г.
186	Россия	OVER SHOW	https://www.youtube.com/channel/UC2VQebBHZ0Jmh-AI2JrXkQg	1942632026	4480000	4306	21 февраля 2014 г.
187	Россия	СИНИЙ ТРАКТОР - Детские песенки и мультики	https://www.youtube.com/user/bluetractortv	3211377430	4480000	138	21 июля 2014 г.
188	Украина	My little Nastya	https://www.youtube.com/channel/UCPOxKewOHmwumtiIfFyhFaw	2051058161	4480000	742	8 февраля 2016 г.
189	Испания	Follow Me	https://www.youtube.com/channel/UCdvorvtyQZc2n_zPA5W6ugA	1650775439	4450000	331	4 июля 2013 г.
190	Россия	КОТЫ ЮТУБЕРЫ	https://www.youtube.com/channel/UCdThPRpf84nKaHe-ETxTPhg	861126280	4450000	690	22 февраля 2016 г.
191	Россия	ОЛЕЖЭ	https://www.youtube.com/user/BazhenovChannel	1217224288	4450000	310	1 апреля 2009 г.
192	Россия	Юрий Хованский	https://www.youtube.com/user/russianstandup	1113215310	4450000	1156	22 сентября 2011 г.
